LYS	0.177083
ARG	0.056542
HIS	0.052458
ASP	0.111667
GLU	0.148208
SER	0.190417
THR	0.195500
CYS	0.068625
PRO	0.227000
ASN	0.053167
GLN	0.057417
PHE	0.157500
TYR	0.094750
TRP	0.062167
GLY	0.078417
ALA	0.075833
VAL	0.115500
ILE	0.105667
MET	0.041250
LEU	0.181458
